,MOTOR: K535W DMS,,,,,,
,,,,,,,
Time (s),Damping Moment Coefficient,Damping Ratio Denominator,Damping Ratio,,,,
14.626,8.578,19.257,0.445448408,,,,
14.676,8.409,18.891,0.445132603,,,,
14.726,8.215,18.522,0.443526617,,,,
14.776,7.966,18.158,0.438704703,,,,
14.826,7.828,17.8,0.439775281,,,,
14.876,7.679,17.435,0.440435905,,,,
14.926,7.499,17.073,0.439231535,,,,
14.976,7.227,16.717,0.43231441,,,,
15.026,7.077,16.371,0.432288803,,,,
15.076,6.947,16.006,0.434024741,,,,
15.126,6.918,15.656,0.441875319,,,,
15.176,6.983,15.309,0.456136913,,,,
15.226,6.841,14.951,0.457561367,,,,
15.276,6.649,14.612,0.455036956,,,,
15.326,6.62,14.28,0.463585434,,,,
15.376,6.706,13.942,0.480992684,,,,
15.426,6.774,13.602,0.498014998,,,,
15.476,6.704,13.27,0.505199699,,,,
15.526,6.598,12.952,0.509419395,,,,
15.576,6.629,12.642,0.524363234,,,,
15.626,6.56,12.331,0.531992539,,,,
15.676,6.439,12.032,0.53515625,,,,
15.726,6.499,11.743,0.55343609,,,,
15.776,6.566,11.453,0.573299572,,,,
15.826,6.543,11.173,0.585608163,,,,
15.876,6.397,10.904,0.586665444,,,,
15.926,6.073,10.65,0.570234742,,,,
15.976,5.78,10.412,0.555128698,,,,
16.026,5.664,10.182,0.556275781,,,,
16.076,5.615,9.957,0.563924877,,,,
16.126,5.629,9.742,0.577807432,,,,
16.176,5.695,9.537,0.59714795,,,,
16.226,5.668,9.345,0.606527555,,,,
16.276,5.673,9.169,0.618715236,,,,
16.326,5.65,9.008,0.627220249,,,,
16.376,5.638,8.863,0.636127722,,,,
16.426,5.657,8.734,0.647698649,,,,
16.476,5.58,8.621,0.647256699,,,,
16.526,5.652,8.527,0.662835698,,,,
16.576,5.719,8.449,0.676884838,,,,
16.626,5.644,8.39,0.672705602,,,,
16.676,5.624,8.35,0.673532934,,,,
16.726,5.753,8.328,0.690802113,,,,
