HEAVY,,,,,,,
Time (s),Damping Moment Coefficient,Damping Ratio Denominator,Damping Ratio,,,,
14.347,20.727,36.451,0.568626375,,,,
14.397,20.527,35.929,0.571321217,,,,
14.447,20.406,35.398,0.576473247,,,,
14.497,20.204,34.804,0.580507988,,,,
14.547,20.176,34.246,0.589149098,,,,
14.597,20.298,33.635,0.603478519,,,,
14.647,19.482,32.988,0.590578392,,,,
14.697,19.11,32.66,0.585119412,,,,
14.747,18.962,32.192,0.58902833,,,,
14.797,18.293,31.655,0.57788659,,,,
14.847,18.378,31.296,0.587231595,,,,
14.897,18.102,30.697,0.589699319,,,,
14.947,18.083,30.223,0.598319161,,,,
14.997,18.566,29.679,0.62556016,,,,
15.047,18.223,29.003,0.628314312,,,,
15.097,17.527,28.581,0.613239565,,,,
15.147,17.948,28.268,0.634922881,,,,
15.197,17.41,27.656,0.629519815,,,,
15.247,16.939,27.316,0.620112754,,,,
15.297,16.721,26.968,0.620031148,,,,
15.347,16.641,26.561,0.626520086,,,,
15.397,16.443,26.131,0.629252612,,,,
15.447,16.045,25.742,0.623300443,,,,
15.497,15.786,25.41,0.621251476,,,,
15.547,16.193,25.056,0.64627235,,,,
15.597,16.471,24.564,0.670534115,,,,
15.647,16.516,24.127,0.684544286,,,,
15.697,16.212,23.756,0.682438121,,,,
15.747,16.241,23.466,0.69210773,,,,
15.797,16.542,23.131,0.715144179,,,,
15.847,16.202,22.772,0.711487792,,,,
15.897,15.787,22.531,0.700679064,,,,
15.947,15.547,22.313,0.6967687,,,,
15.997,15.281,22.083,0.691980256,,,,
16.047,15.031,21.869,0.687319951,,,,
16.097,14.973,21.667,0.691050907,,,,
16.147,14.96,21.454,0.697305864,,,,
16.197,14.762,21.253,0.694584294,,,,
16.247,14.427,21.088,0.684133156,,,,
16.297,14.629,20.95,0.698281623,,,,
16.347,14.306,20.78,0.688450433,,,,
16.397,14.185,20.669,0.686293483,,,,
16.447,14.069,20.557,0.684389746,,,,
16.497,13.952,20.462,0.681849282,,,,
16.547,13.921,20.382,0.683004612,,,,
16.597,13.698,20.315,0.674280089,,,,
16.647,13.908,20.27,0.686137148,,,,
16.697,13.875,20.235,0.685693106,,,,
