0.006,0.901
0.006,0.9
0.006,0.9
0.006,0.899
0.006,0.898
0.006,0.898
0.006,0.9
0.006,0.902
0.006,0.904
0.006,0.906
0.005,0.908
0.005,0.909
0.005,0.91
0.005,0.911
0.005,0.912
0.005,0.913
0.005,0.913
0.005,0.914
0.005,0.914
0.005,0.914
0.005,0.915
0.005,0.916
0.005,0.917
0.005,0.917
0.005,0.917
0.005,0.917
0.005,0.916
0.005,0.915
0.005,0.913
0.005,0.913
0.005,0.912
0.005,0.912
0.005,0.911
0.005,0.911
0.005,0.911
0.005,0.91
0.005,0.91
0.005,0.91
0.005,0.91
0.005,0.91
0.005,0.909
0.005,0.908
0.005,0.907
0.006,0.906
0.006,0.904
0.006,0.899
0.006,0.892
0.007,0.883
0.007,0.879
0.008,0.873
0.008,0.868
0.009,0.862
0.01,0.853
0.012,0.841
0.013,0.83
0.015,0.823
0.017,0.815
0.018,0.808
0.02,0.803
0.021,0.797
0.023,0.792
0.025,0.787
0.027,0.783
0.029,0.779
0.031,0.775
0.032,0.772
0.034,0.769
0.036,0.765
0.04,0.763
0.045,0.763
0.054,0.764
0.063,0.764
0.064,0.764
0.066,0.764
0.069,0.764
0.073,0.764
0.079,0.764
0.088,0.765
0.097,0.765
0.107,0.765
0.113,0.766
0.123,0.766
0.132,0.767
0.142,0.767
0.152,0.768
0.161,0.769
0.171,0.769
0.177,0.77
0.186,0.771
0.196,0.771
0.205,0.772
0.215,0.773
0.217,0.773
0.221,0.774
0.227,0.774
0.235,0.775
0.244,0.776
0.254,0.777
0.259,0.778
0.266,0.779
0.275,0.78
0.284,0.781
0.293,0.782
0.294,0.782
0.295,0.782
0.297,0.783
0.299,0.783
0.303,0.783
0.308,0.784
0.317,0.785
0.326,0.787
0.335,0.788
0.343,0.789
0.352,0.791
0.361,0.792
0.37,0.793
0.37,0.794
0.372,0.794
0.374,0.794
0.376,0.795
0.381,0.795
0.387,0.796
0.395,0.798
0.404,0.799
0.412,0.801
0.42,0.802
0.429,0.804
0.434,0.805
0.441,0.806
0.449,0.808
0.457,0.81
0.465,0.811
0.473,0.813
0.481,0.815
0.488,0.816
0.494,0.818
0.502,0.819
0.51,0.821
0.517,0.823
0.524,0.825
0.532,0.826
0.539,0.828
0.545,0.829
0.552,0.831
0.559,0.833
0.566,0.835
0.572,0.837
0.579,0.838
0.586,0.84
0.586,0.84
0.587,0.84
0.588,0.841
0.59,0.841
0.593,0.842
0.597,0.843
0.603,0.845
0.609,0.846
0.615,0.848
0.621,0.85
0.624,0.851
0.628,0.852
0.633,0.853
0.639,0.855
0.645,0.857
0.649,0.858
0.655,0.86
0.661,0.861
0.666,0.863
0.672,0.865
0.678,0.866
0.683,0.868
0.688,0.87
0.692,0.871
0.698,0.873
0.703,0.874
0.708,0.876
0.713,0.878
0.718,0.879
0.723,0.881
0.727,0.883
0.732,0.884
0.737,0.886
0.741,0.887
0.744,0.888
0.747,0.889
0.752,0.891
0.756,0.892
0.76,0.894
0.765,0.895
0.766,0.896
0.767,0.896
0.769,0.897
0.773,0.898
0.777,0.9
0.781,0.901
0.785,0.903
0.789,0.904
0.793,0.905
0.797,0.907
0.797,0.907
0.797,0.907
0.798,0.907
0.8,0.908
0.802,0.909
0.804,0.91
0.808,0.911
0.812,0.912
0.815,0.914
0.819,0.915
0.822,0.916
0.826,0.918
0.827,0.918
0.83,0.919
0.833,0.92
0.836,0.922
0.839,0.923
0.843,0.924
0.846,0.925
0.849,0.927
0.852,0.928
0.853,0.928
0.854,0.929
0.855,0.929
0.857,0.93
0.86,0.931
0.863,0.932
0.866,0.933
0.869,0.935
0.871,0.936
0.874,0.937
0.877,0.938
0.879,0.939
0.882,0.94
0.884,0.941
0.885,0.941
0.885,0.941
0.886,0.942
0.888,0.942
0.89,0.943
0.892,0.944
0.895,0.945
0.897,0.946
0.899,0.947
0.902,0.948
0.904,0.949
0.906,0.95
0.908,0.951
0.91,0.952
0.912,0.953
0.914,0.954
0.916,0.955
0.918,0.956
0.921,0.957
0.922,0.958
0.924,0.959
0.926,0.96
0.928,0.961
0.93,0.962
0.932,0.963
0.934,0.963
0.936,0.964
0.938,0.965
0.939,0.966
0.941,0.967
0.943,0.968
0.944,0.968
0.945,0.969
0.947,0.97
0.949,0.971
0.95,0.971
0.952,0.972
0.953,0.973
0.955,0.974
0.957,0.975
0.958,0.976
0.959,0.977
0.961,0.978
0.962,0.979
0.964,0.98
0.966,0.981
