time,thrust_filtered
-0.004903,-200.319067165269
-0.001032,-199.933476494884
0.002839,-198.999335129417
0.007,-197.360755591271
0.010871,-194.873302773329
0.014742,-191.413930940001
0.018613,-186.890895523083
0.022484,-181.253020023129
0.026355,-174.49765484672
0.030226,-166.676665044087
0.034097,-157.899833865516
0.037968,-148.335171629169
0.041839,-138.205775956213
0.046,-127.783100662859
0.049871,-117.376749704633
0.053742,-107.321189596842
0.057613,-97.9600111581813
0.061484,-89.6285119539325
0.065355,-82.635394693548
0.069226,-77.2443127032116
0.073097,-73.6559104670296
0.076968,-71.9909915498439
0.080839,-72.2755411856334
0.084,-74.4284807516452
0.087871,-78.2531177275518
0.091742,-83.4332016199498
0.095613,-89.534325517349
0.099484,-96.0112015584963
0.103355,-102.221145010701
0.107226,-107.443925503779
0.111097,-110.907932362819
0.114968,-111.822296817681
0.118839,-109.414217090654
0.123,-102.970306262943
0.126871,-91.8803867549881
0.130742,-75.6817870890835
0.134613,-54.1018196473425
0.138484,-27.0957337300702
0.142355,5.12288888929451
0.146226,42.0625127985165
0.150097,82.9479928226498
0.153968,126.73177377662
0.157839,172.124175916623
0.162,217.643866758871
0.165871,261.687926670825
0.169742,302.618622846444
0.173613,338.861214318637
0.177484,369.004158477884
0.181355,391.890733377505
0.185226,406.690625055911
0.189097,412.942700170214
0.192968,410.565703260645
0.196839,399.839555058729
0.2,381.363648599309
0.203871,355.999647385018
0.207742,324.806222875244
0.211613,288.972812671545
0.215484,249.758482435443
0.219355,208.440229464005
0.223226,166.273369773711
0.227097,124.465502034328
0.230968,84.1645348482714
0.234839,46.4600230937449
0.239,12.3956987530265
0.242871,-17.0102881685278
0.246742,-40.7421145797958
0.250613,-57.765247457915
0.254484,-67.0124761082687
0.258355,-67.3810695970839
0.262226,-57.7443716673403
0.266097,-36.9801819448376
0.269968,-4.01671087128141
0.273839,42.105043615678
0.278,102.155575648078
0.281871,176.632730707644
0.285742,265.675745238297
0.289613,368.985316680033
0.293484,485.758387267025
0.297355,614.646841565683
0.301226,753.748986560375
0.305097,900.640593630485
0.308968,1052.44816032961
0.312839,1205.96160326085
0.316,1357.77823332733
0.319871,1504.46630797465
0.323742,1642.7356169268
0.327613,1769.60344329289
0.331484,1882.54502446144
0.335355,1979.61805508946
0.339226,2059.55213746058
0.343097,2121.79694227558
0.346968,2166.52634480518
0.350839,2194.59928815491
0.355,2207.48154993016
0.358871,2207.13552463142
0.362742,2195.88700399659
0.366613,2176.27888031042
0.370484,2150.92201252745
0.374355,2122.35295117736
0.378226,2092.90683425538
0.382097,2064.61225457052
0.385968,2039.1135135148
0.389839,2017.62372303369
0.394,2000.90942908895
0.397871,1989.30468230132
0.401742,1982.75055272441
0.405613,1980.85486658637
0.409484,1982.9662360481
0.413355,1988.25631676253
