time,thrust
-0.004903,6.773430703
-0.001032,7.321607171
0.002839,8.335733635
0.007,8.664639516
0.010871,7.568286581
0.014742,7.623104228
0.018613,7.979418932
0.022484,8.637230693
0.026355,12.36483067
0.030226,15.10571301
0.034097,19.51853357
0.037968,25.00029825
0.041839,27.22041294
0.046,61.70071274
0.049871,85.9301126
0.053742,95.96174195
0.057613,115.7509124
0.061484,128.6878771
0.065355,97.35959194
0.069226,87.41018906
0.073097,110.4884183
0.076968,135.2934035
0.080839,157.3300975
0.084,139.5417711
0.087871,138.4180094
0.091742,124.6039624
0.095613,111.0640036
0.099484,126.2759006
0.103355,137.4312917
0.107226,141.2137093
0.111097,109.0905683
0.114968,108.1586684
0.118839,115.5316418
0.123,135.3208123
0.126871,147.2436505
0.130742,137.4861094
0.134613,139.2676829
0.138484,163.1955857
0.142355,159.9613445
0.146226,156.480424
0.150097,161.3317857
0.153968,140.4736711
0.157839,128.1671094
0.162,135.5126741
0.165871,200.8827178
0.169742,277.7096497
0.173613,557.2796481
0.177484,1261.768635
0.181355,1863.967893
0.185226,649.7296093
0.189097,285.274485
0.192968,516.3582748
0.196839,813.1136055
0.2,712.0298649
0.203871,43.93979519
0.207742,155.0551651
0.211613,828.9833142
0.215484,423.5245901
0.219355,-35.54579258
0.223226,409.2171843
0.227097,385.8100491
0.230968,-62.95461595
0.234839,63.34524214
0.239,464.0622398
0.242871,407.9837872
0.246742,57.97311276
0.250613,26.12406
0.254484,404.8865902
0.258355,474.9983603
0.262226,115.6960948
0.266097,218.4791824
0.269968,584.0306597
0.273839,324.7980083
0.278,112.0781301
0.281871,530.91236
0.285742,722.1711295
0.289613,375.888055
0.293484,168.5403062
0.297355,365.9112433
0.301226,471.5996663
0.305097,357.6885963
0.308968,1360.933758
0.312839,2014.442334
0.316,1746.164771
0.319871,1085.886216
0.323742,1821.155311
0.327613,2767.965706
0.331484,2414.200023
0.335355,1984.895622
0.339226,2741.022833
0.343097,2952.344861
0.346968,2211.292503
0.350839,2236.700483
0.355,2727.044333
0.358871,2513.200693
0.362742,1953.649564
0.366613,2052.540598
0.370484,2620.725507
0.374355,2383.50214
0.378226,1655.633427
0.382097,1816.632856
0.385968,2454.299131
0.389839,2174.043912
0.394,1818.112932
0.397871,2287.105309
0.401742,2499.27701
0.405613,2027.598569
0.409484,1903.107693
0.413355,2403.236493
0.417226,2635.08773
0.421097,2223.160524
0.424968,2040.508125
0.428839,2450.434487
0.433,2582.709469
0.436871,2155.652592
0.440742,2135.89083
0.444613,2510.92576
0.448484,2319.392903
0.452355,1906.533796
0.456226,2098.971145
0.460097,2456.711108
0.463968,2222.721983
0.467839,1873.177258
0.471,2098.203698
0.474871,2397.836955
0.478742,2200.19193
0.482613,2017.950663
0.486484,2315.226761
0.490355,2471.703734
0.494226,2234.590003
0.498097,2236.508621
0.501968,2409.924246
0.505839,2437.744202
0.51,2194.8198
0.513871,2188.07723
0.517742,2439.88209
0.521613,2363.384064
0.525484,2024.885096
0.529355,2127.96968
0.533226,2374.512046
0.537097,2218.638068
0.540968,1973.466143
0.544839,2117.773598
0.549,2366.070129
0.552871,2176.346253
0.556742,2018.663293
0.560613,2330.082344
0.564484,2458.163775
0.568355,2260.025391
0.572226,2154.145107
0.576097,2454.162087
0.579968,2476.664731
0.583839,2228.61488
0.587,2161.545489
0.590871,2431.714261
0.594742,2352.667214
0.598613,2107.138974
0.602484,2122.405689
0.606355,2316.131253
0.610226,2183.746636
0.614097,2028.174154
0.617968,2176.017348
0.621839,2330.137161
0.626,2206.331506
0.629871,2087.952798
0.633742,2296.15022
0.637613,2444.07564
0.641484,2287.269762
0.645355,2242.100021
0.649226,2418.146893
0.653097,2472.169684
0.656968,2294.834597
0.660839,2218.802521
0.665,2361.684717
0.668871,2360.341685
0.672742,2132.903268
0.676613,2158.585336
0.680484,2320.6263
0.684355,2234.288506
0.688226,2071.452686
0.692097,2152.062036
0.695968,2297.273982
0.699839,2198.163677
0.704,2137.343498
0.707871,2271.372644
0.711742,2351.269364
0.715613,2343.540076
